symbol,timeframe,factor,ic,ir,abs_ic,ic_win
ADAUSDT,1h,rsi,-0.3668035813916416,-1.3256239999233763,0.3668035813916416,0.9851590106007068
ADAUSDT,1h,volume_ratio,0.0101501102579771,0.06644763080945815,0.0101501102579771,0.9074204946996467
ADAUSDT,1h,price_momentum,-0.33713402417217825,-1.132660801935979,0.33713402417217825,0.9763610315186246
ADAUSDT,1h,bollinger_position,-0.33233335766820077,-1.1243489460010412,0.33233335766820077,0.9828203292770222
ADAUSDT,1h,obv_slope,-0.22330827067669173,-0.6353642885878611,0.22330827067669173,0.9756446991404012
ADAUSDT,4h,volatility,-0.024779208521539805,-0.053436725887286325,0.024779208521539805,0.975932043416706
ADAUSDT,4h,atr_ratio,0.12747782556108048,0.2992771713586147,0.12747782556108048,0.9722483537158984
ADAUSDT,4h,rsi,-0.4776944407323266,-1.477746448223939,0.4776944407323266,0.989242282507016
ADAUSDT,4h,volume_ratio,0.01086963784578378,0.05444740275673292,0.01086963784578378,0.9181478016838166
ADAUSDT,4h,price_momentum,-0.3720386974988202,-0.9671728303957609,0.3720386974988202,0.9811231713072204
ADAUSDT,4h,bollinger_position,-0.41066694393921493,-1.1242104052247512,0.41066694393921493,0.9820754716981132
ADAUSDT,4h,obv_slope,0.06226993865030674,0.12936261108857525,0.06226993865030674,0.9716847569608306
ADAUSDT,1d,volatility,1.195385810769339e-05,2.5996811926767335e-05,1.195385810769339e-05,0.9684418145956607
ADAUSDT,1d,atr_ratio,0.14894469991746254,0.3447618432142195,0.14894469991746254,0.9688715953307393
ADAUSDT,1d,rsi,-0.4741683024684363,-1.4158931108530146,0.4741683024684363,0.9904942965779467
ADAUSDT,1d,volume_ratio,-0.0004608825901601563,-0.0015731316747735207,0.0004608825901601563,0.9315589353612167
ADAUSDT,1d,price_momentum,-0.3388799234953081,-0.8269552160847973,0.3388799234953081,0.9625246548323472
