symbol,timeframe,factor,forward_period,ic,ic_std,ir,abs_ic
XRPUSDT,15min,rsi,8,-0.008973095628049129,,0.0,0.008973095628049129
XRPUSDT,15min,rsi,16,0.005329453949160939,,0.0,0.005329453949160939
XRPUSDT,15min,kdj_j,4,-0.018362353022647635,,0.0,0.018362353022647635
XRPUSDT,15min,kdj_j,8,-0.0110277421808215,,0.0,0.0110277421808215
XRPUSDT,15min,kdj_j,16,-0.010485718132701882,,0.0,0.010485718132701882
XRPUSDT,15min,bollinger_position,4,-0.018310738844424863,,0.0,0.018310738844424863
XRPUSDT,15min,bollinger_position,8,-0.018627364487356943,,0.0,0.018627364487356943
XRPUSDT,15min,bollinger_position,16,0.0023496285699037963,,0.0,0.0023496285699037963
XRPUSDT,15min,obv_slope,4,0.008291132473606503,,0.0,0.008291132473606503
XRPUSDT,15min,obv_slope,8,0.0030970085092153782,,0.0,0.0030970085092153782
XRPUSDT,15min,obv_slope,16,-0.004353924806209439,,0.0,0.004353924806209439
XRPUSDT,30min,volume_ratio,2,-0.006377930272420232,,0.0,0.006377930272420232
XRPUSDT,30min,volume_ratio,4,-0.012231937075440392,,0.0,0.012231937075440392
XRPUSDT,30min,volume_ratio,8,0.004070049144135238,,0.0,0.004070049144135238
XRPUSDT,30min,volume_ma_ratio,2,-0.0025211730764393273,,0.0,0.0025211730764393273
XRPUSDT,30min,volume_ma_ratio,4,0.004680556330954125,,0.0,0.004680556330954125
XRPUSDT,30min,volume_ma_ratio,8,0.019994527389967123,,0.0,0.019994527389967123
XRPUSDT,30min,price_momentum,2,0.007473739031092807,,0.0,0.007473739031092807
XRPUSDT,30min,price_momentum,4,0.020938792216325337,,0.0,0.020938792216325337
XRPUSDT,30min,price_momentum,8,0.02755445958715819,,0.0,0.02755445958715819
XRPUSDT,30min,volatility,2,0.01403156330920256,,0.0,0.01403156330920256
XRPUSDT,30min,volatility,4,0.02667220486199339,,0.0,0.02667220486199339
XRPUSDT,30min,volatility,8,0.03890325066829369,,0.0,0.03890325066829369
XRPUSDT,30min,atr_ratio,2,-0.011340880084515967,,0.0,0.011340880084515967
XRPUSDT,30min,atr_ratio,4,-0.011219374812809331,,0.0,0.011219374812809331
XRPUSDT,30min,atr_ratio,8,-0.01017927524439407,,0.0,0.01017927524439407
XRPUSDT,30min,rsi,2,0.013379255818706078,,0.0,0.013379255818706078
XRPUSDT,30min,rsi,4,0.025719270840176743,,0.0,0.025719270840176743
XRPUSDT,30min,rsi,8,0.03717784300038098,,0.0,0.03717784300038098
XRPUSDT,30min,kdj_j,2,0.008791085246711877,,0.0,0.008791085246711877
XRPUSDT,30min,kdj_j,4,0.023309739008580372,,0.0,0.023309739008580372
XRPUSDT,30min,kdj_j,8,0.04162713161865257,,0.0,0.04162713161865257
XRPUSDT,30min,bollinger_position,2,0.015005732376712528,,0.0,0.015005732376712528
XRPUSDT,30min,bollinger_position,4,0.028186470015050032,,0.0,0.028186470015050032
XRPUSDT,30min,bollinger_position,8,0.03566729434642287,,0.0,0.03566729434642287
XRPUSDT,30min,obv_slope,2,0.0055284283947907185,,0.0,0.0055284283947907185
XRPUSDT,30min,obv_slope,4,0.01860476605311396,,0.0,0.01860476605311396
XRPUSDT,30min,obv_slope,8,0.026862558216937046,,0.0,0.026862558216937046
XRPUSDT,1h,volume_ratio,1,0.0041725405605514765,,0.0,0.0041725405605514765
XRPUSDT,1h,volume_ratio,4,0.008264626317572344,,0.0,0.008264626317572344
XRPUSDT,1h,volume_ratio,24,0.00025218129452168496,,0.0,0.00025218129452168496
XRPUSDT,1h,volume_ma_ratio,1,-0.0016355478440422486,,0.0,0.0016355478440422486
XRPUSDT,1h,volume_ma_ratio,4,0.0068912533468723025,,0.0,0.0068912533468723025
XRPUSDT,1h,volume_ma_ratio,24,0.01746989542548593,,0.0,0.01746989542548593
XRPUSDT,1h,price_momentum,1,-0.014044254680937774,,0.0,0.014044254680937774
XRPUSDT,1h,price_momentum,4,-0.013881893002782544,,0.0,0.013881893002782544
XRPUSDT,1h,price_momentum,24,0.02121351347693659,,0.0,0.02121351347693659
XRPUSDT,1h,volatility,1,-0.003863660042558477,,0.0,0.003863660042558477
XRPUSDT,1h,volatility,4,0.013786169948827158,,0.0,0.013786169948827158
XRPUSDT,1h,volatility,24,-0.03210208665261732,,0.0,0.03210208665261732
