symbol,pnl,win_rate,trades,sharpe,max_dd,pnl_pct,pnl_bin
ONEUSDT,-540.693428687462,0.3939393939393939,33,0.03294501641343257,0.4031870369039407,-5.40693428687462,-10~0%
ZILUSDT,-87.50362787960037,0.42857142857142855,14,-0.028972516758202674,0.11181315609667646,-0.8750362787960037,-10~0%
ENJUSDT,-1795.7079490284104,0.23809523809523808,21,-0.21039049431142207,0.3731994217692563,-17.957079490284105,-20~-10%
CHZUSDT,-1649.4928139552267,0.23076923076923078,26,-0.08844717263152797,0.39391479836382204,-16.494928139552268,-20~-10%
BATUSDT,930.2735844961957,0.53125,32,0.13898525779998758,0.20506885103860867,9.302735844961957,0~10%
COMPUSDT,-3532.7956571538202,0.30303030303030304,33,-0.6168177203637188,0.3808382236082781,-35.3279565715382,-50~-20%
MKRUSDT,-3267.1371568110926,0.3333333333333333,24,-0.2522449358879423,0.5225444757049831,-32.67137156811092,-50~-20%
SNXUSDT,1252.3403128157752,0.4,30,0.15785229847111334,0.4832289049512402,12.523403128157751,10~20%
SUSHIUSDT,-1061.3689535387516,0.43478260869565216,23,-0.05110643899993404,0.3829794660642909,-10.613689535387516,-20~-10%
YFIUSDT,522.2940660419755,0.4,15,0.13500813471818957,0.11523752562386835,5.222940660419755,0~10%
CRVUSDT,-1678.036551825943,0.4090909090909091,22,-0.015498264906123382,0.32530550512701906,-16.78036551825943,-20~-10%
1INCHUSDT,-3645.3421826623353,0.3,30,-0.14755472047113347,0.5032552960496676,-36.453421826623355,-50~-20%
BALUSDT,2832.9332814743307,0.44,25,0.25308460514067577,0.2818767376590089,28.329332814743307,20~50%
DYDXUSDT,-3331.1047966223773,0.34782608695652173,23,-0.2818387072674761,0.4934583836247141,-33.311047966223775,-50~-20%
IMXUSDT,-7507.192254808636,0.2222222222222222,36,-0.7099633553693736,0.7643145359968476,-75.07192254808636,<-50%
LRCUSDT,-4627.490854244211,0.4358974358974359,39,-0.5051890691818633,0.500029871601213,-46.274908542442105,-50~-20%
ZRXUSDT,-4764.820527360321,0.23333333333333334,30,-0.6069048083347407,0.5337388495376444,-47.6482052736032,-50~-20%
RENUSDT,-3743.118711037051,0.22580645161290322,31,-0.3366183999445698,0.5147997071773004,-37.43118711037051,-50~-20%
KNCUSDT,-5327.544959386981,0.34615384615384615,26,-0.6873991010584951,0.5558767352805069,-53.27544959386981,<-50%
BANDUSDT,-1878.591446767292,0.3333333333333333,24,-0.1689548330312517,0.33399308722580145,-18.78591446767292,-20~-10%
OCEANUSDT,-2517.7435996403324,0.3333333333333333,30,-0.28863691653352297,0.4417194123725715,-25.177435996403325,-50~-20%
